timestamp,source_type,artifact_type,domain,subdomain_count,subdomain_age_days,domain_reputation_score,cvss_base_score,exploit_availability,exploit_maturity,cve_age_days,exposure_frequency,leak_severity,has_credentials,paste_site_mentions,ct_log_anomaly,ssl_days_remaining,open_ports_count,service_version_outdated,dns_record_type_count,is_wildcard_dns,github_leak_count,anomaly_score,exposure_velocity,risk_score
10/01/26 9:41,CVE,CVE_Entry,oscorptech.com,11,140,0.331,7.6,1,Functional,8,5,Critical,0,0,0,212,3,0,5,0,0,0,4.36,3
08/03/26 17:34,CVE,CVE_Entry,globexinc.com,2,133,0.768,7.6,1,Functional,54,1,Critical,0,0,0,130,2,0,6,1,0,0,1,2
20/11/25 14:16,Paste,PII_Leak,quantumleap.dev,3,701,0.64,4.8,0,None,361,5,Medium,0,4,0,250,4,0,3,0,0,0,5.3,1
05/01/26 9:39,GitHub,Source_Code,aperture-science.net,4,241,0.631,4.4,0,None,83,3,Medium,0,1,0,241,3,0,3,1,4,0,1.83,1
16/06/25 9:13,CVE,Vulnerability,wayneenterprises.com,14,4,0.524,4.8,0,None,107,1,High,0,1,0,172,3,1,5,0,0,0,0.86,0
19/01/26 3:21,DNS,DNS_Record,aperture-science.net,14,155,0.9,4.3,0,None,525,1,Medium,0,0,0,207,11,1,8,0,0,0,0,1
20/11/25 2:02,CT_Log,Wildcard_Cert,cyberdyne.systems,5,67,0.732,7.5,0,None,65,3,Critical,0,0,0,195,11,0,8,0,0,0,1.42,1
20/04/25 5:39,CVE,Exploit_Code,piedpiper.net,4,65,0.747,1.4,0,None,80,2,Medium,0,0,0,209,4,1,3,0,0,0,1.84,0
17/01/26 18:26,CT_Log,Wildcard_Cert,wayneenterprises.com,3,388,0.818,4.1,0,None,20,3,Medium,0,0,0,413,2,0,5,0,0,0,1.82,0
25/02/26 11:44,CVE,Exploit_Code,cyberdyne.systems,8,483,0.67,5.8,1,Functional,277,1,Medium,1,4,0,90,6,0,2,0,0,0,0.52,2
07/01/26 19:22,CT_Log,Wildcard_Cert,weyland-yutani.com,2,161,0.828,6,0,None,45,1,Low,1,5,1,76,2,0,7,0,0,0,1.56,1
16/01/26 15:33,CVE,Vulnerability,piedpiper.net,5,33,0.818,3,0,None,45,3,Medium,0,0,0,195,2,0,8,0,0,0,2.04,0
01/09/25 10:43,GitHub,Password,soylentgreen.co,3,93,0.163,10,0,None,63,5,Critical,1,2,0,115,5,0,2,0,1,0,13.22,3
04/10/25 18:55,GitHub,Source_Code,skynet-defense.io,12,361,0.552,7.2,0,None,21,1,Low,0,0,0,220,5,0,3,0,14,0,1.42,1
14/05/25 6:14,DNS,Subdomain,acmecorp.com,23,747,0.842,2.2,0,None,90,1,High,0,0,0,235,4,1,15,0,2,0,0.61,0
24/12/25 21:02,GitHub,Config,atlas-corp.org,17,33,0.298,6.5,0,None,29,3,Low,0,0,0,348,4,0,8,0,4,0,4.91,1
21/03/26 10:43,CVE,Vulnerability,initech.io,2,72,0.261,7.7,1,POC,143,1,Critical,0,0,0,211,5,0,6,0,0,0,2.14,2
