timestamp,source_type,artifact_type,domain,subdomain_count,subdomain_age_days,domain_reputation_score,cvss_base_score,exploit_availability,exploit_maturity,cve_age_days,exposure_frequency,leak_severity,has_credentials,paste_site_mentions,ct_log_anomaly,ssl_days_remaining,open_ports_count,service_version_outdated,dns_record_type_count,is_wildcard_dns,github_leak_count,anomaly_score,exposure_velocity,risk_score,leak_severity_encoded,exploit_maturity_encoded,source_CT_Log,source_CVE,source_DNS,source_GitHub,source_Paste,artifact_API_Key,artifact_CVE_Entry,artifact_Cert_Anomaly,artifact_Certificate,artifact_Config,artifact_Config_Dump,artifact_Credential_Leak,artifact_DNS_Record,artifact_Data_Dump,artifact_Exploit_Code,artifact_PII_Leak,artifact_Password,artifact_Secret_Token,artifact_Source_Code,artifact_Subdomain,artifact_Vulnerability,artifact_Wildcard_Cert,artifact_Wildcard_Entry,artifact_Zone_Transfer,domain_encoded,is_outlier
2026-01-10 09:41:23,CVE,CVE_Entry,oscorptech.com,11,140.0,0.331,7.6,1,Functional,8.0,5,Critical,0,0.0,0,212.0,3.0,0,5,0,0,0.19104438589655914,4.36,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2026-03-08 17:34:18,CVE,CVE_Entry,globexinc.com,2,133.0,0.768,7.6,1,Functional,54.0,1,Critical,0,0.0,0,130.0,2.0,0,6,1,0,0.22811077160031756,1.0,2,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2025-11-20 14:16:28,Paste,PII_Leak,quantumleap.dev,3,701.0,0.64,4.8,0,POC,361.0,5,Medium,0,4.0,0,250.0,4.0,0,3,0,0,0.20611278004001277,5.3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1
2026-01-05 09:39:21,GitHub,Source_Code,aperture-science.net,4,241.0,0.631,4.4,0,POC,83.0,3,Medium,0,1.0,0,241.0,3.0,0,3,1,4,0.20361675056278317,1.83,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2025-06-16 09:13:26,CVE,Vulnerability,wayneenterprises.com,14,4.0,0.524,4.8,0,POC,107.0,1,High,0,1.0,0,172.0,3.0,1,5,0,0,0.11903065056781359,0.86,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0
2026-01-19 03:21:24,DNS,DNS_Record,aperture-science.net,14,155.0,0.9,4.3,0,POC,525.0,1,Medium,0,0.0,0,207.0,11.0,1,8,0,0,0.19421633681958572,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-11-20 02:02:18,CT_Log,Wildcard_Cert,cyberdyne.systems,5,67.0,0.732,7.5,0,POC,65.0,3,Critical,0,0.0,0,195.0,11.0,0,8,0,0,0.20895251143829452,1.42,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
2025-04-20 05:39:19,CVE,Exploit_Code,piedpiper.net,4,65.0,0.747,1.4,0,POC,80.0,2,Medium,0,0.0,0,209.0,4.0,1,3,0,0,0.13642402900855133,1.84,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0
2026-01-17 18:26:47,CT_Log,Wildcard_Cert,wayneenterprises.com,3,388.0,0.818,4.1,0,POC,20.0,3,Medium,0,0.0,0,413.0,2.0,0,5,0,0,0.19339977840346068,1.82,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0
2026-02-25 11:44:11,CVE,Exploit_Code,cyberdyne.systems,8,483.0,0.67,5.8,1,Functional,277.0,1,Medium,1,4.0,0,90.0,6.0,0,2,0,0,0.3232564000930731,0.52,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
